Year,Carbon Dioxide (ppm)
1958,315.3300000000001
1959,315.9816666666667
1960,316.90833333333336
1961,317.645
1962,318.4533333333333
1963,318.9925
1964,319.2022222222222
1965,320.03583333333336
1966,321.36999999999995
1967,322.18
1968,323.0491666666666
1969,324.6216666666666
1970,325.68333333333334
1971,326.31916666666666
1972,327.4575000000001
1973,329.6774999999999
1974,330.2441666666667
1975,331.1525
1976,332.1525
1977,333.9008333333333
1978,335.50416666666666
1979,336.85083333333336
1980,338.685
1981,339.93416666666667
1982,341.13166666666666
1983,342.7816666666667
1984,344.4225
1985,345.9041666666667
1986,347.1525
1987,348.93249999999995
1988,351.48416666666674
1989,352.90750000000014
1990,354.1858333333333
1991,355.5916666666667
1992,356.3733333333333
1993,357.04
1994,358.8866666666667
1995,360.8783333333333
1996,362.64083333333326
1997,363.76333333333326
1998,366.63000000000005
1999,368.3133333333333
2000,369.475
2001,371.02083333333326
2002,373.0966666666666
2003,375.63666666666666
2004,377.3625
2005,379.61000000000007
2006,381.8083333333333
2007,383.5925
2008,385.4491666666667
2009,387.35833333333335
2010,389.9
2011,391.6491666666666
2012,393.87083333333334
2013,396.56666666666666
2014,398.61333333333334
2015,400.885
2016,404.27750000000015
2017,406.07
